;Seasonal cumulation of Z-scored aggregated data for GIMMS of Kenyan divisions and Ethiopian woredas
adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
74,10874,-5.78063,4.82658,9.14710,2.22262,-9.55211,-7.50804,7.40130,1.58291,-6.63753,3.64305,-1.21073,6.86559,-6.90208,2.03370,-2.58078,6.06569,10.3821,21.4250,1.97852,14.5500,-5.16950,-0.249862,10.6750,5.32373,-2.48478,-1.33668,0.288780,6.13297,-3.09975,3.82375,-5.57009,6.56779,27.3143,38.0033,0.0774756,8.13888,7.27985,8.01581,0.0246330,6.70489,0.786995,10.0423,9.79609,5.54922,-0.623521,1.98862,1.21171,-2.62577,-8.58624,-0.693933,7.23640,-5.24293,-3.57556,4.00054,-5.81020,-17.0048,-1.30921,9.45959,-6.26392,-12.1778
75,634,-11.3316,0.620853,0.0169740,4.41511,-10.1120,-16.0794,-4.80559,0.880251,-7.13986,-5.44573,-4.64301,5.29465,-5.15190,6.07552,-4.71962,-9.64128,-0.0264038,5.71732,-1.51506,-0.276240,-9.73096,-8.50432,0.415631,0.165454,-6.70525,-12.2353,-3.71884,-2.31069,-6.56841,-7.47378,-7.23903,0.752541,9.87993,15.8608,-1.33578,8.08290,2.34403,-0.565021,3.83322,3.75340,-2.17704,4.69157,7.46013,0.926608,-1.90207,5.02210,-3.02290,-6.47735,-7.18126,1.95065,12.5339,7.53250,0.954447,4.33010,-5.63920,-9.80499,-2.09076,-0.312023,-9.02576,-11.6125
76,771,-8.34113,-11.8982,0.751985,1.99157,-12.4152,-12.9861,-4.75733,1.07901,-9.86018,-4.66273,-2.08884,-0.409085,-4.28116,-0.596197,-5.88463,3.70547,-0.370021,2.23306,5.14921,-8.30403,-8.70574,-4.51799,-0.00208485,2.23255,-5.29062,-12.4052,-7.98496,5.58561,-3.46656,1.32503,-8.39219,-0.689812,3.46097,8.16896,-3.72379,5.83171,0.560656,-6.44695,-5.43035,4.97355,-2.78322,2.83165,6.43082,0.0352156,-0.447101,-1.67217,7.46773,2.94758,-7.75979,4.82200,10.9669,9.64405,1.71775,0.305464,-7.44527,-12.7243,1.59535,6.41885,-10.5762,-17.5819
77,13950,-7.32652,1.81794,7.00613,-0.0550366,-14.6600,-13.5876,1.52116,-1.31461,-7.29805,1.03006,-2.96203,6.03801,-9.85645,7.60314,-3.32311,3.26183,3.19406,10.5965,0.513692,3.39885,-7.07487,-4.36468,4.35251,0.333564,-5.08157,-4.24110,-2.92388,1.29481,-3.14539,1.80337,-7.61697,8.12670,23.8774,25.3764,-3.59326,6.69227,3.03514,6.76919,2.33133,2.34973,-2.29880,2.18834,11.5613,5.96503,-1.96376,3.41325,4.10114,0.0982682,-6.76711,-2.07215,9.34948,5.48236,-0.109423,5.86164,-6.08777,-16.9388,-2.09157,2.84829,-8.46547,-9.19602
78,4303,-1.18703,-1.70930,17.0068,8.58278,2.98922,-9.40170,0.248701,7.19312,0.304122,17.0995,-0.0793938,11.9719,1.34960,13.6633,4.18182,5.38203,5.75610,0.783386,-0.289930,-0.812796,0.491197,-7.12559,2.11454,8.88352,-1.49412,10.7928,16.3237,-3.15295,-0.792544,0.219221,1.09535,10.0552,30.9242,13.7416,3.74032,4.84814,1.66367,-8.31670,4.72867,1.75157,1.23623,7.30483,5.96886,5.79252,-1.14943,-6.40395,0.0309378,5.12358,-6.69037,-4.01797,4.52677,5.48339,-2.71162,-5.94477,1.14523,-11.6838,-4.97504,10.3396,-7.74997,-7.74497
79,2244,12.0194,17.2104,29.7043,26.7621,15.9373,11.6043,19.5036,21.7333,13.8152,23.9946,6.66760,17.6574,12.1574,12.3844,12.7949,17.2225,9.72702,26.5864,8.28749,10.9153,6.90673,3.92355,8.05504,11.9610,5.74641,14.5142,16.0935,3.10168,3.14339,9.46917,10.7599,26.5000,33.5622,31.0982,19.0879,10.5527,12.8453,5.16436,8.95096,2.67561,3.59292,11.9862,8.40929,16.6902,3.90267,-5.51786,1.78434,-3.68441,-4.84551,-7.70292,-2.63154,-3.36746,-5.22833,-6.12212,-1.84006,-7.96795,-3.77716,-0.287874,-6.57223,3.29860
80,3030,2.85670,13.9394,37.7623,29.8945,20.3994,7.65746,24.7501,12.9513,6.64629,15.0040,4.70707,27.6830,12.5101,15.2850,10.5992,15.2022,11.3587,17.3954,8.39122,2.91741,-6.09101,2.27153,-3.42328,11.4125,3.54722,10.0080,52.2815,-1.48788,-5.82292,0.191941,3.81619,24.1413,18.1768,32.8568,18.8756,10.7162,6.83945,0.702816,0.967320,1.33230,0.490874,5.70783,0.632599,7.77190,1.63059,-2.85292,-1.72441,-4.15187,-4.59585,-4.08605,-0.318510,-0.457104,-2.17542,-5.78170,0.961279,-5.57951,0.582146,3.61258,-2.29856,4.48452
81,9474,-2.88305,-2.98510,14.7480,8.73926,-0.0251502,-5.40216,0.190488,6.74918,-1.16825,14.0431,-1.94054,7.77239,-0.857219,11.8425,6.62227,8.99038,5.80531,4.58262,0.255066,0.410926,-1.95928,-3.50371,2.90592,7.60429,-4.00520,4.43639,8.41223,-0.554399,-0.870159,3.86435,0.408880,11.7392,29.3597,19.6150,2.43525,0.556048,0.966943,-4.37026,0.110898,-1.08898,0.241415,5.28607,7.30813,8.47296,-1.50102,-7.21516,-0.636343,2.93742,-8.03359,-5.92960,6.54914,12.1325,-1.61188,-7.09024,2.19903,-7.48273,-1.70104,8.80665,-10.1041,-8.82889
82,6267,-4.88831,-7.30827,8.11490,-3.20655,-1.27675,-15.3685,-3.87991,-0.269439,-4.84120,6.72219,-5.87668,9.72334,-2.00873,7.74913,3.73967,0.582923,5.42796,-1.86369,0.260379,-6.68635,-1.88017,-12.8352,-0.778932,-4.14096,-4.92521,4.89037,11.4681,-11.1001,-3.27472,-0.956763,-3.95797,8.33731,19.1628,1.33849,-1.45788,-1.60187,-1.09977,-21.4134,1.67128,-3.22615,1.90082,4.05215,1.77823,-0.737068,-4.52838,-8.77156,-0.0103320,4.54983,-8.46964,-5.11213,7.79803,9.42125,-1.36540,-6.97231,4.96867,-12.6993,-3.16839,14.4699,-7.77401,5.02542
83,4928,-0.433453,-4.88394,7.95202,-1.87203,2.88744,-17.4148,4.97182,2.27240,0.391907,-1.02161,-1.53716,5.37044,1.88549,4.19175,2.57415,1.88649,4.96764,-3.81711,-0.677117,-8.86671,-0.352130,-12.7300,0.602267,-7.90121,-3.70063,-4.73834,8.76894,-11.1203,-1.96232,-2.83827,0.404434,10.6065,18.6850,2.16261,6.37368,-1.97173,-0.366566,-16.2473,-1.43626,1.00364,1.03981,0.326757,-0.404173,-2.18192,-2.37996,-3.72114,-2.19340,-1.31853,-3.97811,-5.09311,2.56486,4.47498,-0.0229573,-5.92132,2.01501,-10.4731,1.06033,10.8332,-7.23223,12.0706
84,6517,1.81591,0.941109,13.8874,2.33466,4.33138,-6.28836,3.17782,12.4824,3.25235,12.5242,1.72201,17.4802,8.52657,18.3630,9.34279,7.03092,5.53018,1.81450,0.378295,-5.29105,-0.881464,-5.26881,1.10606,2.55228,0.146572,4.47300,14.4130,-4.71039,-0.795398,-2.80528,1.41188,7.80738,27.9064,8.35202,7.38772,2.83761,5.45289,-5.52093,4.38430,1.30980,1.81740,6.48629,1.78842,5.98863,-1.06571,-6.07225,-0.743595,-2.04504,-7.17385,-7.79235,0.480374,6.19871,-1.46839,-5.54865,4.52814,-9.75969,-1.33002,12.6416,-5.28107,-1.40703
85,8161,3.25440,1.58862,15.2589,13.1742,5.47107,-6.54841,11.9754,4.95402,1.67568,6.72220,1.31687,12.4608,6.19878,11.2597,6.49776,7.39241,7.60944,3.40163,2.14624,-7.85943,0.165671,-7.96698,1.47647,-3.06643,-2.62493,-0.754149,9.77331,-7.70570,-1.29246,-1.46783,2.90627,16.7982,19.3377,15.5857,8.01044,0.333345,2.09942,-8.76757,-0.000283480,2.56401,-0.225449,4.57153,1.32085,0.769280,-1.01830,-3.14707,-2.26046,-4.43901,-5.04273,-4.77613,0.887887,4.78037,0.497312,-3.78144,3.87398,-9.02587,0.232149,8.54184,-7.23721,3.94250
86,2127,-1.39360,12.7569,38.2392,14.2205,15.9168,11.0486,39.0394,8.62084,-1.60389,13.9182,0.256094,15.8493,2.87618,30.1947,30.1360,54.0341,28.0642,29.8739,8.53990,15.1869,-2.94250,4.13121,12.1725,34.1341,-4.60089,17.8632,41.4692,2.42522,-3.37376,7.37921,4.48274,13.0378,57.0743,43.3810,14.4219,5.80438,6.93480,-3.47299,0.171346,0.906006,-1.81075,0.752343,6.36721,7.70841,-2.06188,-5.22814,1.50992,2.13157,-3.70009,-2.48501,1.87688,2.79162,-1.59333,-2.49827,1.00610,-7.14037,-1.22417,9.30572,-7.71705,-6.24387
87,9493,-7.70501,-8.16103,5.45749,1.31152,-2.10980,-13.7739,-7.55483,6.18162,-6.61370,-0.542718,-8.45654,3.19626,-6.19718,4.47872,2.53061,0.613362,5.48260,7.40524,-3.10590,-1.78355,-2.19124,-7.63107,-1.14956,-3.52849,-7.92456,5.47729,5.47760,-4.50440,-4.20273,4.62084,-4.62555,10.6950,17.2888,3.47924,-3.73629,-0.0496914,-4.81984,-12.9129,-5.38011,-1.85463,4.77565,2.63934,5.11604,-1.97136,-6.71625,-8.49017,-2.62250,0.493368,-7.51111,-4.89507,9.61212,14.7773,-1.62200,-4.75113,4.02366,-5.92475,-3.96609,13.3834,-6.65553,-3.40626
88,3977,-4.34634,-7.99466,6.19598,-9.61776,0.328049,-21.9788,-2.49123,-4.14118,-4.03665,-0.0283400,-6.66438,1.55012,1.41035,4.35699,3.65634,-1.81141,4.43933,-3.13166,-1.32897,-11.1138,-3.21988,-15.3727,-3.51656,-8.61954,-5.76846,-9.21281,12.1012,-14.1569,-3.37027,-7.28216,-2.64160,0.392177,23.7647,1.27593,1.46030,-3.95941,0.253286,-19.7615,1.50013,-3.80346,-0.141732,0.625938,-1.40113,-0.750797,-3.11512,-10.5124,-1.22680,0.186511,-6.33586,-9.07889,6.48845,10.8578,0.922858,-2.46225,4.63049,-6.31235,-2.22303,16.0770,-6.43682,5.17294
89,2899,-3.40991,-5.12979,3.76636,-3.59571,-3.27453,-5.51109,-0.126943,-1.80522,-3.16023,6.12499,-1.91049,1.02743,-3.30115,9.04006,6.79876,11.7280,5.86934,6.78760,1.40926,-0.944300,-2.61348,-4.91019,2.47858,0.904717,-4.91164,1.47677,8.52917,1.38456,-0.302842,2.34644,-1.02976,8.90857,20.5188,15.1633,1.62107,-5.25787,-0.558092,-9.85348,-1.38687,-1.92585,-3.80950,3.81378,5.26950,9.94942,1.06361,-5.14802,3.52201,2.88393,-6.93183,-4.83383,4.50539,10.5962,-2.34750,-6.41212,-4.35325,-9.55652,0.136191,11.4187,-6.93739,-10.7857
90,5240,8.55133,11.6222,23.2086,18.2919,14.7750,6.43624,21.1852,26.6590,12.5795,26.5034,8.94303,36.4303,18.7889,39.3093,19.7741,24.8570,18.3451,16.2630,10.2205,8.00436,8.04650,4.40030,7.96356,10.2108,4.99891,6.01461,17.9461,3.36571,3.57483,4.20439,8.01083,28.3294,26.9678,29.1148,16.7737,18.9050,14.8694,6.23494,6.38713,6.90298,5.22796,14.9730,7.34009,8.87661,1.49450,-5.83894,-3.75315,-6.21607,-4.90119,-7.03029,-2.68640,-1.49236,-2.55194,-5.79031,1.75239,-8.76937,-2.59448,-0.148711,-8.12595,4.53340
91,6512,-8.94028,-14.2231,1.99117,-5.57356,-6.26326,-15.9384,-5.62804,0.503973,-9.07309,3.10706,-6.90100,5.92540,-7.91710,0.476781,-0.252296,-1.90186,3.72006,-2.55531,-5.20515,-5.44333,-4.43975,-8.46908,1.41732,-6.70424,-9.90912,-3.67285,3.76471,-9.93501,-1.52502,4.73968,-6.66699,6.05149,18.1957,8.02767,-3.39894,-5.69902,-6.07756,-17.6141,-5.17544,-3.26275,4.59291,3.36054,7.10908,-2.87346,-4.50971,-6.97269,-5.15358,-0.248736,-7.86254,-3.68481,10.4918,20.9705,-0.801739,-5.03448,0.284633,-7.93862,-3.79774,13.5005,-8.43845,-7.81598
92,936,1.28065,1.82758,11.0652,10.2248,3.90905,-3.45535,2.34844,14.7359,3.87209,5.36947,1.18166,12.1644,5.23827,10.2236,6.07846,3.10063,0.525576,4.43542,1.13088,-4.55054,-4.30047,-4.39209,1.48912,0.303682,0.727934,5.26154,6.94348,-3.23677,0.0783669,-0.148175,-1.09085,10.7673,14.7685,12.3871,8.66003,7.06043,3.91067,0.945139,4.37391,1.31661,-0.473362,9.55025,0.345055,12.4657,1.04551,-5.92824,-1.33557,-6.54859,-6.87625,-6.23962,-6.66170,-5.21101,-4.54305,-8.69161,1.81095,-2.93765,3.85684,6.70051,2.52019,5.52368
93,1908,-3.68880,-3.23866,7.75525,-6.76029,1.86176,-24.0522,-1.80500,-3.05124,-4.74188,0.324623,-6.10032,-0.618482,1.37544,2.07220,2.50596,-3.69660,4.06070,-6.61474,-2.56925,-21.2484,-4.64312,-18.4549,-2.06441,-15.1676,-4.99944,-9.97663,4.48205,-17.5812,-4.17045,-8.63495,-2.84453,5.13619,24.1841,3.49498,0.325812,-4.38036,-1.23476,-18.7209,-4.03031,2.75820,-1.32400,-2.28035,-2.50367,-1.81064,-6.16881,-5.99466,-3.41652,-5.37126,-6.90346,-8.98878,6.76674,16.0236,0.840996,-4.17866,6.69802,-11.0910,2.33514,12.6934,-4.84625,8.24021
94,1403,-1.27469,1.07758,8.55092,-0.983717,3.92908,-9.12000,3.01282,0.00111103,-2.84421,4.93201,-4.43157,2.56856,2.10117,8.18530,8.33037,6.28756,6.95024,2.18521,1.23650,-7.42199,-1.55076,-6.73120,1.76305,-0.885132,0.848981,3.05774,13.6355,-8.94600,-4.62942,-4.35613,-1.82765,4.20045,21.2356,7.12648,0.0215048,-0.0695658,-0.498039,-10.6793,-1.66774,2.30963,-1.19201,-0.594700,0.799537,-1.17040,-2.97890,-5.00559,-2.92274,-5.96263,-6.63297,-8.20645,2.30611,8.03299,0.690078,-7.76786,4.13732,-8.77646,2.91798,15.7261,-7.17429,11.4154
95,7006,-0.614020,11.1088,14.3068,0.691603,-3.06004,-1.29449,0.401782,7.27415,-4.56602,3.62893,0.574891,10.8685,-3.33664,8.35285,-4.47334,1.96035,2.08884,14.8550,2.45828,-1.64142,-3.90110,3.37987,12.1391,9.98823,-1.50200,2.16315,6.24203,10.1719,0.180238,2.76695,-1.71500,20.7746,49.0905,45.8239,0.721140,6.47721,7.09663,-3.13784,-1.60343,11.9407,-1.40583,15.8628,5.17905,5.97825,0.0580289,-0.418216,1.23791,-7.64700,-10.6321,3.98144,16.2252,3.96642,-3.33522,0.310822,-0.683417,-12.2887,-3.61885,-4.72902,-10.4223,-16.9574
96,2738,-3.59051,4.79621,12.0068,-0.696765,-2.82038,-4.30432,5.27446,3.62697,-3.64109,3.10400,0.173926,-4.67506,-4.08112,2.23801,-1.34669,-3.31718,0.367225,9.59421,1.93591,-8.03310,-4.29377,-5.07326,7.08836,4.86987,0.194808,-4.90006,2.47437,2.88909,-1.23812,-6.14458,-2.72195,18.0043,38.0548,25.1704,-0.777041,-0.291097,5.36385,-4.60056,-8.05972,5.59535,0.756834,15.2264,-0.894489,5.50407,3.70286,4.36530,4.08838,-4.60597,-10.7455,-2.50615,13.7471,-4.70463,-1.03459,3.08998,-4.99520,-10.7162,-0.342882,3.92302,-12.5144,-15.1712
97,878,-2.36019,10.3020,12.4111,10.2322,-3.21658,-8.68929,-4.44312,22.0085,-2.43739,10.8585,-0.664625,15.6081,-4.43104,9.13286,-5.65271,7.63397,8.49846,16.0028,4.29264,-1.05570,-6.54749,-3.21325,-0.446278,3.96161,-5.08205,-4.89783,2.41035,6.09403,0.0344037,5.69025,-5.76357,10.7028,23.7768,35.0160,-1.93674,5.70036,0.689233,0.0303224,-6.22052,4.95553,-5.62778,12.8404,5.26922,3.24502,0.306196,-5.73416,5.95294,-4.03526,-12.0127,8.72282,17.1179,11.7651,-3.92555,0.0991003,1.20667,-9.39937,-1.91338,-0.938821,-8.88794,-21.5204
98,4993,-1.39928,14.9684,15.1944,-0.0557982,-4.22625,-1.73899,-0.418395,9.42035,-3.26881,2.90096,-4.02820,8.70150,-7.30541,4.83889,-6.95895,4.41710,2.81262,9.99696,2.68034,-2.16675,-7.85765,-3.00952,2.67238,6.57156,-2.94108,-2.08095,1.35379,13.3182,1.09666,2.37761,-2.93417,23.9135,34.9985,38.4799,0.713045,1.36722,-0.190054,-1.57373,-5.21220,7.09630,-1.67232,16.6916,0.684474,6.85255,0.368569,-4.82811,6.71426,-8.58294,-10.7620,1.13648,12.5921,-3.22376,-1.52360,4.54507,-2.45846,-8.79585,-0.962673,3.16136,-10.9175,-14.0527
99,7766,-2.18452,9.61296,5.43858,7.27449,-2.97505,1.61356,0.905353,8.16171,-5.53159,6.67364,-3.17992,4.00589,-5.85460,5.75625,-4.62045,1.33695,0.350984,10.8178,-1.55671,1.43660,-6.88553,-1.88140,1.68467,10.3987,-1.04062,0.689078,1.21280,9.00017,-2.17068,-2.13668,-3.20927,17.1569,30.7325,41.4972,1.06640,2.28290,3.48080,2.72213,-4.14891,4.85780,-2.54650,15.6282,5.11144,6.02724,0.330394,-6.35649,6.50527,-8.24540,-11.5974,-3.88935,15.3253,7.28683,-2.30127,1.56980,-4.59538,-7.77668,-0.120000,5.34654,-12.3216,-14.4485
100,2487,1.22004,15.0932,17.7991,-0.105457,-0.986403,1.93506,3.37318,7.83942,-1.06118,5.70234,3.18968,10.6801,-1.22364,14.1086,-1.46600,4.24502,3.77117,19.9567,4.14457,2.22217,-0.701736,3.67089,14.8935,7.65602,2.63722,2.45036,11.2598,9.80896,2.51419,3.28319,0.0354661,21.9668,60.4129,46.5880,5.32966,6.68190,7.72046,-0.869483,-3.17625,14.1780,2.54934,13.4528,4.60459,8.66597,-0.0196629,-0.207248,-1.15701,-7.27556,-10.6682,1.95992,16.8237,0.537380,-5.15666,0.369398,-2.57509,-11.0702,-4.23582,-2.82099,-9.60747,-17.7896
101,7850,-0.0864540,0.726091,17.4922,-2.96094,-1.52588,-4.38068,3.03757,7.50796,-1.43942,4.86437,3.58463,2.31076,-1.96213,6.36440,-1.60365,0.0100415,5.11372,19.5744,5.64962,-6.76261,-2.19696,-4.25885,12.7950,-1.06321,-1.10305,-4.77712,11.2369,2.71761,1.00345,-3.28566,-0.578413,22.5769,51.0842,37.4631,5.63186,1.66861,3.35493,-4.73448,-5.10807,11.6326,2.08242,11.0975,0.803917,10.9481,0.00104141,-1.40419,-1.06581,-2.76287,-9.00182,-2.88721,15.5804,-2.16312,-3.75400,5.37111,-1.64566,-11.2801,-3.64347,-1.64891,-8.88350,-16.9029
102,3241,0.593213,10.3288,14.2162,4.81095,-2.74764,-4.83097,-2.58332,12.1502,-5.08860,2.76845,-0.499191,10.5674,-4.50675,9.26377,-5.59404,6.06440,3.57408,15.2198,1.52887,-2.75807,-4.20111,-1.40401,1.38575,8.83393,-2.79468,1.42537,4.66589,7.05594,0.866864,8.58160,-4.05576,16.5394,35.2059,42.2589,-1.11697,5.10868,3.43749,-1.50568,-1.17110,7.02607,-3.59737,14.5338,2.55727,4.79461,-1.44211,-2.35193,2.39901,-12.0372,-12.8371,-1.86925,17.0412,11.1683,-0.156112,-2.44635,-0.0418924,-4.43438,-0.668910,2.40691,-8.64018,-16.7906
103,7114,1.43207,9.41838,17.1955,3.25576,-4.52596,2.00453,-1.98633,9.79697,-5.80104,6.37593,-2.00563,12.4504,-6.58754,14.1122,-6.78981,7.14224,-0.0179610,15.7936,-0.111307,2.09171,-6.88787,1.78966,4.16786,7.85879,-1.99356,3.75051,1.39145,8.86699,-0.662775,4.84566,-4.62686,25.1479,37.7707,45.3557,0.354090,5.90340,0.495986,-2.35885,-4.43249,8.25025,0.0496679,16.1939,2.61995,5.23525,-1.76316,-4.36812,1.68291,-11.7175,-11.4267,2.25094,16.1866,1.54779,-1.74147,4.73377,-0.0494796,-8.54749,-2.51335,0.428927,-10.0510,-14.0078
